id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Sig
YKR013W,9962.851123,-1.042963653,0.304920862,-3.420440454,0.000625198,0.026228678,Down
YER103W,2524.876703,-2.039375197,0.596539577,-3.418675431,0.000629267,0.026228678,Down
YER072W,13975.88289,-2.353497052,0.689019929,-3.415716954,0.000636143,0.026228678,Down
YBR072W,6521.907861,-4.518022842,1.328346591,-3.401237954,0.000670814,0.027136328,Down
YFL034C-A,4576.302933,1.475843444,0.436256717,3.38297013,0.000717064,0.028224857,Up
YLR388W,13456.99025,2.357629269,0.69746032,3.380305948,0.000724052,0.028224857,Up
YFR032C-A,19624.29337,2.384659456,0.70702026,3.372830442,0.000743998,0.028484477,Up
YDL048C,1164.132433,-1.083370426,0.322172585,-3.36270209,0.000771836,NA,Down
YER001W,7523.453021,-1.615130722,0.480603404,-3.360631048,0.000777646,0.029250415,Down
YPL081W,6081.196237,1.329025173,0.396774381,3.349574056,0.000809359,0.02991838,Up
YNL220W,6103.837236,-1.056084982,0.316609608,-3.335606232,0.000851136,0.030929427,Down
YGR161C,947.8108326,-1.676245661,0.504183623,-3.324672967,0.000885223,NA,Down
YDR077W,53088.88349,-1.929707139,0.580502999,-3.324198397,0.000886731,0.031685851,Down
YOL084W,296.7767834,-2.577653702,0.778647917,-3.310422652,0.000931552,NA,Down
snR81,23.1979166,3.245385978,0.980379601,3.310336093,0.00093184,NA,Up
YIL099W,117.7454488,-2.104972664,0.637126263,-3.303854803,0.000953652,NA,Down
YDR247W,1035.197144,-1.952658054,0.591724319,-3.299945587,0.000967036,NA,Down
YPL111W,1620.376681,1.3009194,0.39451845,3.297486851,0.000975542,NA,Up
YML101C,562.9341282,1.328194672,0.403164054,3.294427318,0.000986224,NA,Up
YOR343C,179.8082059,-2.058295159,0.626343927,-3.286205979,0.001015467,NA,Down
YDR418W,2576.699325,2.021814429,0.615296718,3.285917784,0.001016507,0.035727713,Up
YIR038C,3310.081168,-1.950280387,0.59558466,-3.274564506,0.00105825,0.036014087,Down
YMR271C,541.7227545,-1.739343055,0.533319649,-3.261351909,0.001108823,NA,Down
YOR344C,7202.884018,-1.955276517,0.602470456,-3.245431371,0.001172728,0.038681991,Down
YOR032C,344.6961621,-1.728303542,0.532548143,-3.245347048,0.001173076,NA,Down
snR49,203.4630026,1.840909079,0.568410729,3.238695164,0.001200778,NA,Up
YER150W,1171.517298,-1.884061177,0.585974761,-3.215259946,0.001303264,NA,Down
YLR312C,62.11279099,-1.448245178,0.451719292,-3.206073335,0.001345597,NA,Down
YDL133C-A,17903.92006,2.064357999,0.64401528,3.205448788,0.00134852,0.042994209,Up
YMR194W,8013.482561,1.98006982,0.61833853,3.202242336,0.001363622,0.042994209,Up
snR67,143.7406499,1.604798979,0.502832104,3.191520525,0.001415261,NA,Up
YDL238C,368.9606384,-1.848546526,0.582068956,-3.175820507,0.001494134,NA,Down
YPR160W,1426.559873,-2.079927485,0.655263767,-3.174183572,0.001502586,NA,Down
YCL025C,2658.921918,-1.462209794,0.463134824,-3.157201141,0.001592914,0.048788689,Down
YPL249C-A,28.03416297,1.917245085,0.607334812,3.156817374,0.001595012,NA,Up
YFL004W,5856.932743,-1.493249245,0.473719225,-3.152182067,0.001620552,0.048936103,Down
YIL066C,235.6171467,-1.20288131,0.381650485,-3.151787717,0.001622742,NA,Down
YJR159W,31.3093237,-2.127580484,0.675465965,-3.149796725,0.001633841,NA,Down
YDL241W,208.5167551,1.468632645,0.471059582,3.117721626,0.001822549,NA,Up
YGL121C,985.7541729,-2.661858691,0.854779812,-3.114086991,0.001845151,NA,Down
YBR189W,82198.00592,2.374181437,0.763355612,3.110190585,0.001869667,0.055674518,Up
YML131W,755.3930342,-1.357925587,0.437324283,-3.105077032,0.001902295,NA,Down
YHL028W,732.79273,-1.262547628,0.407693965,-3.096802344,0.001956203,NA,Down
